Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.14_07.35.02,59,-101,-12,11,6,-87,13555,247,905.7
2017.12.14_07.35.03,59,-104,-11,9,6,-87,17761,542,630.49
2017.12.14_07.35.04,59,-104,-11,9,7,-92,20925,386,630.49
2017.12.14_07.35.05,59,-109,-12,7,8,-88,24460,443,630.49
2017.12.14_07.35.07,59,-109,-12,7,6,-93,22971,412,630.49
2017.12.14_07.35.08,59,-103,-12,9,6,-86,18587,542,630.49
2017.12.14_07.35.09,59,-103,-12,9,6,-86,16160,456,630.49
2017.12.14_07.35.10,59,-102,-12,7,6,-86,18341,339,905.7
2017.12.14_07.35.11,59,-102,-12,7,6,-86,21618,395,905.7
2017.12.14_07.35.12,59,-103,-12,6,6,-86,26986,493,905.7
2017.12.14_07.35.13,59,-103,-12,6,8,-88,28675,528,905.7
2017.12.14_07.35.14,59,-104,-12,6,7,-92,26852,479,905.7
2017.12.14_07.35.15,59,-104,-12,6,8,-94,23273,427,905.7
2017.12.14_07.35.16,59,-112,-12,5,8,-91,24548,450,905.7
2017.12.14_07.35.18,59,-112,-12,5,8,-89,27031,576,905.7
2017.12.14_07.35.19,59,-106,-12,6,9,-87,34077,611,905.7
2017.12.14_07.35.20,59,-106,-12,6,6,-94,16854,309,905.7
2017.12.14_07.35.21,59,-111,-13,5,8,-94,17592,324,905.7
2017.12.14_07.35.22,59,-111,-13,5,5,-94,12783,233,905.7
2017.12.14_07.35.23,59,-109,-12,6,7,-92,13991,259,905.7
2017.12.14_07.35.24,59,-109,-12,6,6,-84,9730,178,905.7
2017.12.14_07.35.25,59,-101,-10,5,8,-94,11374,211,630.49
2017.12.14_07.35.27,59,-101,-10,5,7,-88,20291,515,630.49
2017.12.14_07.35.28,59,-105,-12,4,5,-93,23631,428,905.7
2017.12.14_07.35.29,59,-105,-12,4,6,-89,23162,426,905.7
2017.12.14_07.35.30,59,-106,-12,4,6,-89,25779,473,905.7
2017.12.14_07.35.31,59,-106,-12,4,6,-89,33160,606,905.7
2017.12.14_07.35.32,59,-106,-12,6,6,-89,17133,316,905.7
2017.12.14_07.35.33,59,-106,-12,6,6,-89,6423,171,905.7
2017.12.14_07.35.34,59,-105,-12,5,6,-89,7057,204,905.7
2017.12.14_07.35.35,59,-105,-12,5,8,-87,12056,221,905.7
2017.12.14_07.35.37,59,-97,-13,6,8,-84,14997,267,905.7
2017.12.14_07.35.38,59,-97,-13,6,8,-81,20153,352,905.7
2017.12.14_07.35.39,59,-100,-12,6,10,-83,18722,339,905.7
2017.12.14_07.35.40,59,-100,-12,6,10,-81,28552,498,905.7
2017.12.14_07.35.41,59,-93,-12,9,9,-81,33216,592,905.7
2017.12.14_07.35.42,59,-93,-12,9,8,-79,17189,312,905.7
2017.12.14_07.35.43,59,-97,-12,11,8,-79,28138,509,905.7
2017.12.14_07.35.44,59,-97,-12,11,8,-79,32634,596,905.7
2017.12.14_07.35.45,59,-96,-12,12,8,-79,26170,480,905.7
2017.12.14_07.35.46,59,-96,-12,12,8,-79,32511,589,905.7
2017.12.14_07.35.48,59,-97,-12,13,8,-79,38349,699,905.7
2017.12.14_07.35.49,59,-97,-12,13,8,-79,30800,557,905.7
2017.12.14_07.35.50,59,-97,-12,12,9,-81,26092,479,905.7
2017.12.14_07.35.51,59,-97,-12,12,9,-85,35207,906,905.7
2017.12.14_07.35.52,59,-99,-12,10,11,-82,46760,906,905.7
2017.12.14_07.35.53,59,-99,-12,10,11,-82,43360,771,905.7
2017.12.14_07.35.54,59,-100,-11,11,11,-82,33585,617,905.7
2017.12.14_07.35.55,59,-100,-11,11,7,-87,14628,270,905.7
2017.12.14_07.35.56,59,-102,-12,10,11,-85,11653,574,905.7
2017.12.14_07.35.57,59,-102,-12,10,11,-85,11094,202,905.7
2017.12.14_07.35.59,59,-98,-13,1,5,-81,5703,105,100004.17
2017.12.14_07.36.00,59,-98,-13,1,6,-85,6252,116,100004.17
2017.12.14_07.36.01,59,-100,-13,2,9,-83,15546,280,905.7
2017.12.14_07.36.02,59,-100,-13,2,8,-87,16820,307,905.7
2017.12.14_07.36.03,59,-102,-12,7,8,-85,18878,348,905.7
2017.12.14_07.36.04,59,-102,-12,7,8,-85,30845,539,905.7
2017.12.14_07.36.05,59,-104,-12,10,8,-87,26839,498,905.7
2017.12.14_07.36.06,59,-104,-12,10,9,-84,29290,508,905.7
2017.12.14_07.36.08,59,-106,-12,9,9,-84,25969,477,905.7
2017.12.14_07.36.09,59,-106,-12,9,9,-84,20041,364,905.7
2017.12.14_07.36.10,59,-106,-13,8,8,-89,25029,455,905.7
2017.12.14_07.36.11,59,-106,-13,8,9,-87,17685,503,905.7
2017.12.14_07.36.12,59,-98,-12,7,8,-81,14505,297,905.7
2017.12.14_07.36.13,59,-98,-12,7,8,-85,17480,321,905.7
2017.12.14_07.36.14,59,-101,-12,11,8,-85,19795,366,905.7
2017.12.14_07.36.15,59,-101,-12,11,10,-81,17044,313,905.7
2017.12.14_07.36.16,59,-103,-12,13,9,-81,19258,352,905.7
2017.12.14_07.36.18,59,-103,-12,13,11,-81,36605,658,905.7
2017.12.14_07.36.18,43,-103,-12,13,11,-81,36605,658,303.24
2017.12.14_07.36.19,43,-98,-12,12,11,-78,46044,822,303.24
2017.12.14_07.36.20,43,-98,-12,12,11,-78,56311,973,303.24
2017.12.14_07.36.21,43,-94,-12,16,11,-78,56177,979,303.24
2017.12.14_07.36.22,43,-94,-12,16,14,-72,75559,1302,303.24
2017.12.14_07.36.23,43,-90,-12,19,14,-72,74765,1263,303.24
2017.12.14_07.36.24,43,-90,-12,19,11,-75,63189,1070,303.24
2017.12.14_07.36.25,43,-92,-12,19,11,-75,66186,1184,303.24
2017.12.14_07.36.26,43,-92,-12,19,11,-75,66813,1565,303.24
2017.12.14_07.36.27,43,-92,-12,19,11,-75,63390,1123,303.24
2017.12.14_07.36.28,43,-92,-12,19,10,-77,56255,1014,303.24
2017.12.14_07.36.29,43,-93,-12,16,10,-77,60822,1394,303.24
2017.12.14_07.36.31,43,-93,-12,16,12,-79,62048,1086,303.24
2017.12.14_07.36.32,43,-96,-12,17,11,-76,57687,1007,303.24
2017.12.14_07.36.33,43,-96,-12,17,11,-76,59152,1056,303.24
2017.12.14_07.36.34,43,-93,-12,18,11,-76,64654,1146,303.24
2017.12.14_07.36.35,43,-93,-12,18,11,-76,55606,993,303.24
2017.12.14_07.36.36,43,-94,-12,18,11,-76,54656,985,303.24
2017.12.14_07.36.37,43,-94,-12,18,11,-76,57921,1037,303.24
2017.12.14_07.36.38,43,-93,-12,17,11,-76,58917,1052,303.24
2017.12.14_07.36.39,43,-93,-12,17,11,-76,59026,1033,303.24
2017.12.14_07.36.40,43,-93,-12,17,11,-76,58313,1294,303.24
2017.12.14_07.36.41,43,-93,-12,17,11,-76,61769,1086,303.24
2017.12.14_07.36.42,43,-92,-12,18,11,-76,64878,1109,303.24
2017.12.14_07.36.43,43,-92,-12,18,12,-74,64050,1143,303.24
2017.12.14_07.36.45,43,-91,-12,18,12,-74,60579,1313,303.24
2017.12.14_07.36.46,43,-91,-12,18,12,-74,35117,812,303.24
2017.12.14_07.36.47,43,-92,-12,19,12,-74,56300,960,303.24
2017.12.14_07.36.48,43,-92,-12,19,12,-74,59532,1059,303.24
2017.12.14_07.36.49,43,-93,-11,19,13,-76,65527,1126,303.24
2017.12.14_07.36.50,43,-93,-11,19,14,-74,55662,1000,303.24
2017.12.14_07.36.51,43,-92,-11,18,14,-74,49880,891,303.24
2017.12.14_07.36.52,43,-92,-11,18,14,-81,53627,916,303.24
2017.12.14_07.36.53,43,-87,-11,18,12,-81,69844,1213,303.24
2017.12.14_07.36.54,43,-87,-11,18,12,-81,61646,1209,303.24
2017.12.14_07.36.55,43,-85,-10,21,13,-68,42510,943,303.24
2017.12.14_07.36.56,43,-85,-10,21,13,-68,40139,722,303.24
2017.12.14_07.36.58,43,-85,-9,22,13,-68,43002,771,303.24
2017.12.14_07.36.59,43,-85,-9,22,15,-64,43416,756,303.24
2017.12.14_07.37.00,43,-81,-9,23,15,-73,40855,738,303.24
2017.12.14_07.37.01,43,-81,-9,23,15,-73,42633,764,303.24
2017.12.14_07.37.02,43,-88,-10,22,15,-71,41518,734,303.24
2017.12.14_07.37.03,43,-88,-10,22,15,-71,44937,799,303.24
2017.12.14_07.37.04,43,-89,-10,22,15,-71,49028,890,303.24
2017.12.14_07.37.05,43,-89,-10,22,15,-71,53973,951,303.24
2017.12.14_07.37.06,43,-87,-9,22,15,-71,56982,960,303.24
2017.12.14_07.37.07,43,-87,-9,22,15,-66,50383,911,303.24
2017.12.14_07.37.08,43,-83,-11,21,15,-66,47341,1116,303.24
2017.12.14_07.37.09,43,-83,-11,21,14,-66,51435,898,303.24
2017.12.14_07.37.11,43,-83,-9,21,14,-68,39535,811,303.24
2017.12.14_07.37.12,43,-83,-9,21,14,-65,36146,651,303.24
2017.12.14_07.37.13,43,-87,-9,21,12,-70,43371,763,303.24
2017.12.14_07.37.14,43,-87,-9,21,12,-70,42801,740,303.24
2017.12.14_07.37.15,43,-85,-9,21,14,-68,47800,845,303.24
2017.12.14_07.37.16,43,-85,-9,21,14,-68,46380,815,303.24
2017.12.14_07.37.17,43,-87,-9,23,13,-70,45887,777,303.24
2017.12.14_07.37.18,43,-87,-9,23,14,-67,47632,794,303.24
2017.12.14_07.37.19,43,-85,-9,22,14,-67,49455,859,303.24
2017.12.14_07.37.20,43,-85,-9,23,15,-64,55689,997,303.24
2017.12.14_07.37.21,43,-81,-9,23,15,-64,66711,1187,303.24
2017.12.14_07.37.23,43,-81,-9,23,15,-67,54700,1041,303.24
2017.12.14_07.37.24,43,-84,-9,24,13,-70,61690,1071,303.24
2017.12.14_07.37.25,43,-84,-9,24,15,-73,64061,1085,303.24
2017.12.14_07.37.26,43,-90,-11,22,15,-73,63502,1126,303.24
2017.12.14_07.37.27,43,-90,-11,22,12,-71,64442,1114,303.24
2017.12.14_07.37.28,43,-90,-12,19,14,-73,63279,1095,303.24
2017.12.14_07.37.29,43,-90,-12,19,14,-73,63480,1070,303.24
2017.12.14_07.37.30,43,-92,-12,20,14,-75,63066,1085,303.24
2017.12.14_07.37.31,43,-92,-12,20,14,-75,68871,1193,303.24
2017.12.14_07.37.32,43,-89,-11,20,12,-72,64498,1143,303.24
2017.12.14_07.37.33,43,-89,-11,20,12,-72,66265,1305,303.24
2017.12.14_07.37.34,43,-90,-10,19,12,-72,63256,1113,303.24
2017.12.14_07.37.36,43,-90,-10,19,14,-74,69284,1185,303.24
2017.12.14_07.37.37,43,-91,-11,19,13,-72,69173,1202,303.24
2017.12.14_07.37.38,43,-91,-11,19,13,-72,53918,953,303.24
2017.12.14_07.37.39,43,-90,-12,19,13,-72,58179,1027,303.24
2017.12.14_07.37.40,43,-90,-12,19,15,-70,45753,798,303.24
2017.12.14_07.37.41,43,-89,-11,20,15,-72,42420,755,303.24
2017.12.14_07.37.42,43,-89,-11,20,13,-74,62216,1105,303.24
2017.12.14_07.37.43,43,-90,-11,21,13,-74,55159,1143,303.24
2017.12.14_07.37.44,43,-90,-11,21,15,-71,36012,641,303.24
2017.12.14_07.37.45,43,-88,-12,21,15,-71,41045,728,303.24
