Date,Frequency,WiFiState,RSSIlevel,ScreenState,Battery
607021,839000,3,-52,255,84
607124,757000,3,-52,255,84
607223,1014000,3,-52,255,84
607325,1014000,3,-52,255,84
607425,1248000,3,-52,255,84
607525,1248000,3,-52,255,84
607626,676000,3,-52,255,84
607727,676000,3,-52,255,84
607828,757000,3,-52,255,84
607929,676000,3,-52,255,84
608030,757000,3,-52,255,84
608130,676000,3,-52,255,84
608231,1144000,3,-52,255,84
608331,757000,3,-52,255,84
608434,1144000,3,-52,255,84
608534,1482000,3,-52,255,84
608636,676000,3,-52,255,84
608736,676000,3,-52,255,84
608787,902000,3,-52,255,84
608887,546000,3,-52,255,84
608988,546000,3,-52,255,84
609089,839000,3,-52,255,84
609191,1144000,3,-52,255,84
609291,1586000,3,-52,255,84
609392,1586000,3,-52,255,84
609493,676000,3,-52,255,84
609594,839000,3,-52,255,84
609694,1248000,3,-52,255,84
609795,546000,3,-52,255,84
609897,1248000,3,-52,255,84
609997,1586000,3,-52,255,84
610098,1586000,3,-52,255,84
610199,1014000,3,-52,255,84
610299,676000,3,-52,255,84
610400,1248000,3,-52,255,84
610501,1248000,3,-52,255,84
610602,676000,3,-52,255,84
610702,676000,3,-52,255,84
610803,839000,3,-52,255,84
610904,676000,3,-52,255,84
611005,676000,3,-52,255,84
611106,546000,3,-52,255,84
611206,902000,3,-52,255,84
611309,1586000,3,-52,255,84
611410,1144000,3,-52,255,84
611512,1248000,3,-52,255,84
611613,902000,3,-52,255,84
611713,676000,3,-52,255,84
611814,757000,3,-52,255,84
611914,1586000,3,-52,255,84
612015,1586000,3,-52,255,84
612115,676000,3,-52,255,84
612216,902000,3,-52,255,84
612317,1014000,3,-52,255,84
612417,1248000,3,-52,255,84
612518,1144000,3,-52,255,84
612619,676000,3,-52,255,84
612720,546000,3,-52,255,84
612821,676000,3,-52,255,84
612922,546000,3,-52,255,84
613023,902000,3,-52,255,84
613123,902000,3,-52,255,84
613224,1144000,3,-52,255,84
613325,546000,3,-52,255,84
613425,1014000,3,-52,255,84
613526,1144000,3,-52,255,84
613626,1144000,3,-52,255,84
613727,546000,3,-52,255,84
613830,676000,3,-52,255,84
613929,676000,3,-52,255,84
614029,902000,3,-52,255,84
614130,546000,3,-52,255,84
614230,1014000,3,-52,255,84
614331,902000,3,-52,255,84
614431,1144000,3,-52,255,84
614532,1248000,3,-52,255,84
614632,757000,3,-52,255,84
614733,757000,3,-52,255,84
614834,902000,3,-52,255,84
614934,902000,3,-52,255,84
615035,1014000,3,-52,255,84
615135,676000,3,-52,255,84
615236,902000,3,-52,255,84
615338,1144000,3,-52,255,84
615437,1352000,3,-52,255,84
615538,676000,3,-52,255,84
615639,676000,3,-52,255,84
615739,676000,3,-52,255,84
615841,676000,3,-52,255,84
615941,676000,3,-52,255,84
616042,757000,3,-52,255,84
616142,902000,3,-52,255,84
616243,1014000,3,-52,255,84
616344,1144000,3,-52,255,84
616444,1248000,3,-52,255,84
616545,757000,3,-52,255,84
616645,676000,3,-52,255,84
616746,676000,3,-52,255,84
616847,676000,3,-52,255,84
616948,676000,3,-52,255,84
617049,676000,3,-52,255,84
617151,546000,3,-52,255,84
617255,902000,3,-52,255,84
617355,1014000,3,-52,255,84
617455,1248000,3,-52,255,84
617506,1248000,3,-52,255,84
617606,902000,3,-52,255,84
617713,546000,3,-52,255,84
617814,546000,3,-52,255,84
617915,546000,3,-52,255,84
618016,546000,3,-52,255,84
618119,546000,3,-52,255,84
618218,1144000,3,-52,255,84
618321,546000,3,-52,255,84
618420,1248000,3,-52,255,84
618521,1248000,3,-52,255,84
618621,1248000,3,-52,255,84
618722,546000,3,-52,255,84
618823,676000,3,-52,255,84
618924,546000,3,-52,255,84
619025,902000,3,-52,255,84
619125,1482000,3,-52,255,84
619225,1586000,3,-52,255,84
619326,1586000,3,-52,255,84
619426,1586000,3,-52,255,84
619527,1586000,3,-52,255,84
619628,546000,3,-52,255,84
619728,546000,3,-52,255,84
619829,902000,3,-52,255,84
619930,546000,3,-52,255,84
620032,676000,3,-52,255,84
620132,546000,3,-52,255,84
620233,1248000,3,-52,255,84
620334,546000,3,-52,255,84
620434,1248000,3,-52,255,84
620535,1248000,3,-52,255,84
620636,546000,3,-52,255,84
620736,902000,3,-52,255,84
620837,546000,3,-52,255,84
620938,757000,3,-52,255,84
621039,546000,3,-52,255,84
621139,757000,3,-52,255,84
621240,1144000,3,-52,255,84
621343,546000,3,-52,255,84
621441,1144000,3,-52,255,84
621542,1248000,3,-52,255,84
621642,676000,3,-52,255,84
621743,902000,3,-52,255,84
621844,676000,3,-52,255,84
621944,1144000,3,-52,255,84
622045,1144000,3,-52,255,84
622146,757000,3,-52,255,84
622246,1248000,3,-52,255,84
622348,1586000,3,-52,255,84
622449,1586000,3,-52,255,84
622549,1586000,3,-52,255,84
622650,757000,3,-52,255,84
622752,676000,3,-52,255,84
622852,676000,3,-52,255,84
622953,546000,3,-52,255,84
623055,546000,3,-52,255,84
623155,676000,3,-52,255,84
623256,1144000,3,-52,255,84
623362,676000,3,-52,255,84
623459,1248000,3,-52,255,84
623560,1586000,3,-52,255,84
623661,1586000,3,-52,255,84
623762,546000,3,-52,255,84
623863,757000,3,-52,255,84
623964,546000,3,-52,255,84
624065,676000,3,-52,255,84
