Timestamp,Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,ServingCell_Distance
2017.12.01_22.00.51,3,-99,-14,-7,5,-88,3679,68,899.37
2017.12.01_22.00.52,3,-105,-18,-6,5,-88,1688,65,899.37
2017.12.01_22.00.53,3,-105,-18,-6,2,-85,894,45,899.37
2017.12.01_22.00.54,3,-102,-16,-6,2,-85,5692,127,424.76
2017.12.01_22.00.56,3,-102,-16,-6,2,-85,5390,100,424.76
2017.12.01_22.00.57,3,-102,-17,-7,2,-85,6833,127,424.76
2017.12.01_22.00.58,3,-102,-17,-7,2,-85,8511,158,424.76
2017.12.01_22.00.59,3,-102,-15,-6,2,-85,9718,180,424.76
2017.12.01_22.01.00,3,-102,-15,-6,2,-85,7437,138,424.76
2017.12.01_22.01.01,3,-102,-17,-7,4,-87,2326,44,424.76
2017.12.01_22.01.02,3,-102,-17,-6,4,-87,2404,81,424.76
2017.12.01_22.01.03,3,-103,-18,-7,4,-87,4182,77,424.76
2017.12.01_22.01.05,3,-103,-18,-7,4,-87,2762,51,424.76
2017.12.01_22.01.06,3,-105,-19,-8,4,-87,1666,37,424.76
2017.12.01_22.01.07,3,-105,-19,-8,4,-87,2762,74,424.76
2017.12.01_22.01.08,3,-98,-14,-11,2,-81,1399,48,899.37
2017.12.01_22.01.09,3,-98,-14,-11,5,-88,2170,54,899.37
2017.12.01_22.01.10,3,-105,-17,-8,6,-85,4188,106,899.37
2017.12.01_22.01.11,3,-105,-17,-8,4,-88,2359,47,899.37
2017.12.01_22.01.13,3,-100,-15,-5,6,-85,4988,93,899.37
2017.12.01_22.01.14,3,-100,-15,-5,4,-88,3836,74,899.37
2017.12.01_22.01.15,3,-102,-17,-3,2,-85,6755,146,1394.76
2017.12.01_22.01.16,3,-102,-17,-3,4,-89,8108,151,1394.76
2017.12.01_22.01.17,3,-106,-19,-6,4,-89,7772,144,1394.76
2017.12.01_22.01.18,3,-106,-19,-6,4,-91,4686,87,1394.76
2017.12.01_22.01.19,3,-108,-19,-8,4,-91,5670,105,1394.76
2017.12.01_22.01.20,3,-108,-19,-8,4,-88,4618,86,1394.76
2017.12.01_22.01.22,3,-106,-18,-9,4,-88,7873,143,1394.76
2017.12.01_22.01.23,3,-106,-18,-9,4,-93,2897,60,1394.76
2017.12.01_22.01.24,3,-106,-15,-12,4,-93,8723,217,114.92
2017.12.01_22.01.25,3,-106,-15,-12,6,-93,8857,165,114.92
2017.12.01_22.01.26,3,-101,-14,-2,6,-93,2818,52,114.92
2017.12.01_22.01.27,3,-101,-14,-2,4,-85,4708,108,114.92
2017.12.01_22.01.28,3,-104,-15,-1,5,-82,4831,114,114.92
2017.12.01_22.01.29,3,-104,-15,-7,2,-87,6654,123,114.92
2017.12.01_22.01.31,3,-105,-14,-7,5,-84,4988,108,1394.76
2017.12.01_22.01.32,3,-105,-14,-7,6,-88,6240,116,1394.76
2017.12.01_22.01.33,3,-105,-13,-7,6,-88,7538,143,1394.76
2017.12.01_22.01.34,3,-105,-13,-7,5,-82,5390,100,1394.76
2017.12.01_22.01.35,3,-99,-15,-6,6,-88,6386,122,1394.76
2017.12.01_22.01.36,3,-99,-15,-6,5,-85,4887,91,1394.76
2017.12.01_22.01.37,3,-102,-17,-6,5,-91,9517,176,1394.76
2017.12.01_22.01.39,3,-102,-17,-6,6,-83,5927,110,1394.76
2017.12.01_22.01.40,3,-100,-13,-7,6,-83,6788,129,1394.76
2017.12.01_22.01.41,3,-100,-13,-7,6,-85,9036,168,1394.76
2017.12.01_22.01.42,3,-102,-15,-5,6,-85,10982,191,1394.76
2017.12.01_22.01.43,3,-102,-15,-5,4,-89,5278,98,1394.76
2017.12.01_22.01.44,3,-106,-19,-8,4,-89,6609,269,1394.76
2017.12.01_22.01.45,3,-106,-19,-8,3,-87,7672,142,1394.76
2017.12.01_22.01.46,3,-104,-20,-9,2,-92,2247,42,1394.76
2017.12.01_22.01.48,3,-104,-20,-9,4,-89,1565,68,1394.76
2017.12.01_22.01.49,3,-107,-20,-9,4,-89,2102,100,1394.76
2017.12.01_22.01.50,3,-107,-20,-9,5,-87,4205,209,1394.76
2017.12.01_22.01.51,3,-106,-19,-8,4,-89,1129,61,1394.76
2017.12.01_22.01.52,3,-106,-19,-8,6,-87,1688,96,1394.76
2017.12.01_22.01.53,3,-109,-18,-8,4,-92,5301,101,1394.76
2017.12.01_22.01.54,3,-109,-18,-8,4,-90,2818,100,1394.76
2017.12.01_22.01.55,3,-103,-18,-7,5,-84,2103,103,1394.76
2017.12.01_22.01.56,3,-103,-18,-8,4,-91,782,37,1394.76
2017.12.01_22.01.57,3,-104,-15,-9,2,-87,8477,481,114.92
2017.12.01_22.01.59,3,-104,-15,-9,4,-90,1878,107,114.92
2017.12.01_22.02.00,3,-107,-16,-6,4,-90,9707,267,114.92
2017.12.01_22.02.01,3,-107,-16,-6,6,-86,9595,302,114.92
2017.12.01_22.02.02,3,-103,-15,-5,5,-88,5502,144,114.92
2017.12.01_22.02.03,3,-103,-15,-5,5,-88,4652,107,114.92
2017.12.01_22.02.04,3,-105,-17,-6,5,-88,5502,102,114.92
2017.12.01_22.02.05,5,-105,-17,-5,6,-86,5502,102,129.88
2017.12.01_22.02.05,5,-105,-17,-6,6,-86,6542,121,129.88
2017.12.01_22.02.07,5,-100,-15,-3,7,-87,6061,112,129.88
2017.12.01_22.02.08,5,-100,-15,-3,7,-83,6352,151,129.88
2017.12.01_22.02.09,5,-100,-14,-2,7,-86,4507,85,129.88
2017.12.01_22.02.10,5,-100,-14,-2,7,-84,6453,120,129.88
2017.12.01_22.02.11,5,-101,-15,-1,7,-84,7582,141,129.88
2017.12.01_22.02.12,5,-101,-15,-1,7,-84,7180,152,129.88
2017.12.01_22.02.13,5,-102,-16,-1,6,-86,5044,101,129.88
2017.12.01_22.02.14,5,-102,-16,-1,6,-86,3478,68,129.88
2017.12.01_22.02.16,5,-103,-16,-4,6,-86,4730,111,129.88
2017.12.01_22.02.17,5,-103,-16,-4,5,-83,3265,60,129.88
2017.12.01_22.02.18,5,-100,-16,-7,6,-85,5871,108,129.88
2017.12.01_22.02.19,5,-100,-16,-7,6,-85,4753,108,129.88
2017.12.01_22.02.20,5,-97,-10,-5,2,-80,5972,111,995.82
2017.12.01_22.02.21,5,-97,-10,-5,7,-84,6833,127,995.82
2017.12.01_22.02.22,5,-101,-15,-2,7,-84,1543,29,995.82
2017.12.01_22.02.23,5,-101,-15,-2,7,-82,4786,90,995.82
2017.12.01_22.02.25,5,-98,-13,0,7,-82,6296,136,995.82
2017.12.01_22.02.26,5,-98,-13,0,6,-85,2751,54,995.82
2017.12.01_22.02.27,5,-102,-17,-2,6,-85,4115,76,995.82
2017.12.01_22.02.28,5,-102,-17,-2,6,-85,2371,54,995.82
2017.12.01_22.02.29,5,-101,-15,-4,4,-88,2136,39,995.82
2017.12.01_22.02.30,5,-101,-15,-4,6,-85,7101,135,995.82
2017.12.01_22.02.31,5,-102,-15,-7,2,-83,637,14,995.82
2017.12.01_22.02.32,5,-102,-15,-4,2,-83,10591,254,995.82
2017.12.01_22.02.33,5,-97,-14,-4,7,-80,10076,220,129.88
2017.12.01_22.02.35,5,-97,-14,-4,7,-78,6453,121,129.88
2017.12.01_22.02.36,5,-95,-16,-3,7,-78,3601,91,129.88
2017.12.01_22.02.37,5,-95,-16,-3,6,-81,5871,144,129.88
2017.12.01_22.02.38,5,-97,-17,-5,6,-81,4596,102,129.88
2017.12.01_22.02.39,5,-97,-17,-5,6,-81,5882,110,129.88
2017.12.01_22.02.40,5,-97,-14,-5,6,-81,7963,152,129.88
2017.12.01_22.02.41,5,-97,-14,-5,6,-79,5032,93,129.88
2017.12.01_22.02.43,5,-98,-15,-5,6,-81,4753,114,129.88
2017.12.01_22.02.44,5,-98,-15,-5,6,-79,5401,100,129.88
2017.12.01_22.02.45,5,-96,-13,-3,6,-79,6553,121,129.88
2017.12.01_22.02.46,5,-96,-13,-3,7,-81,5659,126,129.88
2017.12.01_22.02.47,5,-97,-13,-2,7,-81,5681,131,129.88
2017.12.01_22.02.48,5,-97,-13,-2,7,-81,3165,73,129.88
2017.12.01_22.02.49,5,-96,-10,-2,7,-79,1621,45,129.88
2017.12.01_22.02.50,5,-96,-10,-2,7,-79,4104,83,129.88
2017.12.01_22.02.51,5,-96,-14,-1,6,-77,4261,80,129.88
2017.12.01_22.02.53,5,-96,-14,-1,6,-81,4317,80,129.88
2017.12.01_22.02.54,5,-99,-12,2,6,-81,6229,115,129.88
