TimeMS,Time,Min,Memory Usage,CPU Frequency,CPU Load,Wi-Fi RSSI Level,Screen Bright,Battery,Download,Upload,Quality
2120060,2120,00:35:20,1788864,676000,40,-63,255,72,841,12,360
2130060,2130,00:35:30,1818400,546000,40,-64,255,72,841,12,360
2140060,2140,00:35:40,1790672,1586000,40,-63,255,72,841,12,360
2150060,2150,00:35:50,1820484,1586000,40,-63,255,72,841,12,360
2160060,2160,00:36:00,1800936,1352000,40,-66,255,72,841,12,360
2170060,2170,00:36:10,1825424,1482000,40,-62,255,72,841,12,360
2180060,2180,00:36:20,1809428,1352000,40,-65,255,72,841,12,360
2190060,2190,00:36:30,1785916,1482000,40,-65,255,72,841,12,360
2200060,2200,00:36:40,1813740,1586000,40,-63,255,72,841,12,360
2210060,2210,00:36:50,1825284,1144000,40,-64,255,72,841,12,360
2220060,2220,00:37:00,1827996,1586000,40,-62,255,72,841,12,360
2230060,2230,00:37:10,1823092,1586000,40,-64,255,72,841,12,360
2240060,2240,00:37:20,1815184,1482000,40,-64,255,72,841,12,360
2250060,2250,00:37:30,1819084,757000,40,-77,255,72,841,12,360
2260060,2260,00:37:40,1825624,1586000,40,-61,255,72,841,12,360
2270060,2270,00:37:50,1821704,676000,40,-65,255,72,841,12,360
2280060,2280,00:38:00,1800448,902000,40,-65,255,72,841,12,360
2290060,2290,00:38:10,1821292,546000,40,-60,255,72,841,12,360
2300060,2300,00:38:20,1824916,1586000,40,-57,4,71,820,11,720
2310060,2310,00:38:30,1824984,1586000,40,-57,4,71,820,11,720
2320060,2320,00:38:40,1826428,902000,40,-57,4,71,820,11,720
2330060,2330,00:38:50,1818608,1352000,40,-57,4,71,820,11,720
2340060,2340,00:39:00,1781372,1352000,40,-57,4,71,820,11,720
2350060,2350,00:39:10,1807700,1014000,40,-57,4,71,820,11,720
2360060,2360,00:39:20,1801960,1482000,40,-57,4,71,820,11,720
2370060,2370,00:39:30,1819316,902000,40,-57,4,71,820,11,720
2380060,2380,00:39:40,1748760,1482000,40,-57,4,71,820,11,720
2390060,2390,00:39:50,1827760,1586000,40,-57,4,71,820,11,720
2400060,2400,00:40:00,1771156,1248000,40,-57,4,71,820,11,720
2410060,2410,00:40:10,1802232,1586000,40,-57,4,71,820,11,720
2420060,2420,00:40:20,1817648,902000,40,-64,4,71,820,11,720
2430060,2430,00:40:30,1793944,902000,40,-57,4,71,820,11,720
